PersonID,NetWorth
298,.00
299,.00
300,.00
301,.00
302,.00
303,.00
304,.00
305,.00
306,.00
307,.00
308,.00
309,.00
310,.00
311,.00
312,.00
313,.00
314,.00
315,.00
316,.00
317,.00
318,.00
319,.00
320,.00
321,.00
322,.00
323,.00
324,.00
325,.00
326,.00
327,.00
328,.00
329,.00
330,.00
331,.00
332,.00
333,-100.00
334,-100.00
335,-100.00
336,-200.00
337,-200.00
338,-300.00
339,-300.00
340,-300.00
341,-400.00
342,-500.00
343,-600.00
344,-600.00
345,-600.00
346,-600.00
347,-600.00
348,-600.00
349,-700.00
350,-800.00
351,-900.00
352,-900.00
353,-1000.00
354,-1000.00
355,-1000.00
356,-1000.00
357,-1000.00
358,-1000.00
359,-1000.00
360,-1000.00
361,-1000.00
362,-1100.00
363,-1100.00
364,-1100.00
365,-1200.00
366,-1300.00
367,-1300.00
368,-1400.00
369,-1500.00
370,-1500.00
371,-1500.00
372,-1500.00
373,-1800.00
374,-1900.00
375,-1900.00
376,-2000.00
377,-2000.00
378,-2000.00
379,-2000.00
380,-2000.00
381,-2000.00
382,-2000.00
383,-2200.00
384,-2200.00
385,-2200.00
386,-2300.00
387,-2300.00
388,-2300.00
389,-2400.00
390,-2500.00
391,-2500.00
392,-2500.00
393,-2500.00
394,-2500.00
395,-2800.00
396,-2800.00
397,-2800.00
398,-2900.00
399,-2900.00
400,-3000.00
401,-3000.00
402,-3000.00
403,-3000.00
404,-3000.00
405,-3000.00
406,-3000.00
407,-3000.00
408,-3300.00
409,-3400.00
410,-3400.00
411,-3400.00
412,-3500.00
413,-3500.00
414,-3500.00
415,-3600.00
416,-3800.00
417,-3900.00
418,-3900.00
419,-4000.00
420,-4000.00
421,-4000.00
422,-4200.00
423,-4300.00
424,-4500.00
425,-4600.00
426,-4800.00
427,-4800.00
428,-4900.00
429,-4900.00
430,-4900.00
431,-4900.00
432,-5000.00
433,-5000.00
434,-5000.00
435,-5000.00
436,-5000.00
437,-5200.00
438,-5400.00
439,-5400.00
440,-5500.00
441,-5500.00
442,-5700.00
443,-5800.00
444,-6000.00
445,-6000.00
446,-6000.00
447,-6300.00
448,-6400.00
449,-6500.00
450,-6500.00
451,-6600.00
452,-6800.00
453,-6800.00
454,-6900.00
455,-6900.00
456,-7000.00
457,-7000.00
458,-7000.00
459,-7000.00
460,-7000.00
461,-7000.00
462,-7200.00
463,-7200.00
464,-7300.00
465,-7600.00
466,-8000.00
467,-8000.00
468,-8100.00
469,-8400.00
470,-8400.00
471,-8600.00
472,-8600.00
473,-8600.00
474,-8700.00
475,-8900.00
476,-9000.00
477,-9000.00
478,-9300.00
479,-9400.00
480,-9500.00
481,-9700.00
482,-9700.00
483,-9700.00
484,-9800.00
485,-9800.00
486,-9800.00
487,-9800.00
488,-9900.00
489,-10000.00
490,-10000.00
491,-10000.00
492,-10900.00
493,-10900.00
494,-11000.00
495,-11000.00
496,-11000.00
497,-11000.00
498,-11200.00
499,-11600.00
500,-11700.00
501,-11800.00
502,-11900.00
503,-12000.00
504,-12000.00
505,-12100.00
506,-12200.00
507,-12500.00
508,-12800.00
509,-13000.00
510,-13000.00
511,-13000.00
512,-13000.00
513,-13000.00
514,-13100.00
515,-13200.00
516,-13300.00
517,-13500.00
518,-13500.00
519,-13600.00
520,-13900.00
521,-14000.00
522,-14000.00
523,-14000.00
524,-14000.00
525,-14700.00
526,-14900.00
527,-14900.00
528,-15000.00
529,-15000.00
530,-15000.00
531,-15000.00
532,-15500.00
533,-15700.00
534,-15900.00
535,-16000.00
536,-16300.00
537,-16500.00
538,-16800.00
539,-17000.00
540,-17000.00
541,-17100.00
542,-17300.00
543,-17300.00
544,-17300.00
545,-17300.00
546,-17500.00
547,-17600.00
548,-17600.00
549,-17900.00
550,-18000.00
551,-18000.00
552,-18300.00
553,-18600.00
554,-19000.00
555,-19000.00
556,-19100.00
557,-19300.00
558,-19700.00
559,-19900.00
560,-20000.00
561,-20100.00
562,-20200.00
563,-20400.00
564,-21000.00
565,-21200.00
566,-22300.00
567,-22500.00
568,-23000.00
569,-23800.00
570,-23800.00
571,-23800.00
572,-24000.00
573,-24100.00
574,-25000.00
575,-25000.00
576,-25400.00
577,-26500.00
578,-27400.00
579,-27800.00
580,-27900.00
581,-28700.00
582,-29000.00
583,-29400.00
584,-29900.00
585,-30000.00
586,-30000.00
587,-30700.00
588,-30800.00
589,-30900.00
590,-31200.00
591,-31300.00
592,-31300.00
593,-31750.00
594,-31900.00
595,-32000.00
596,-32000.00
597,-32900.00
598,-33500.00
599,-35000.00
600,-35600.00
601,-37700.00
602,-37800.00
603,-39100.00
604,-40000.00
605,-40500.00
606,-41000.00
607,-41700.00
608,-45000.00
609,-47500.00
610,-48000.00
611,-48400.00
612,-50000.00
613,-51100.00
614,-53800.00
615,-56500.00
616,-56900.00
617,-59000.00
618,-59600.00
619,-60000.00
620,-60000.00
621,-60700.00
622,-63900.00
623,-67000.00
624,-69600.00
625,-83000.00
626,-83200.00
627,-84900.00
628,-91300.00
629,-95000.00
630,-100800.00
631,-104500.00
632,-106000.00
633,-111300.00
634,-121000.00
635,-139900.00
636,-146500.00
637,-199900.00
638,-258300.00
